label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min,orb_gry1,orb_gry2,orb_gry3,orb_gry4,orb_gry5,orb_gry6,orb_gry7,orb_gry8,orb_gry9,orb_gry10,orb_gry11,orb_gry12,orb_gry13,orb_gry14,orb_gry15,orb_gry16,orb_gry17,orb_gry18,orb_gry19,orb_gry20,orb_b1,orb_b2,orb_b3,orb_b4,orb_b5,orb_b6,orb_b7,orb_b8,orb_b9,orb_b10,orb_b11,orb_b12,orb_b13,orb_b14,orb_b15,orb_b16,orb_b17,orb_b18,orb_b19,orb_b20,orb_g1,orb_g2,orb_g3,orb_g4,orb_g5,orb_g6,orb_g7,orb_g8,orb_g9,orb_g10,orb_g11,orb_g12,orb_g13,orb_g14,orb_g15,orb_g16,orb_g17,orb_g18,orb_g19,orb_g20,orb_r1,orb_r2,orb_r3,orb_r4,orb_r5,orb_r6,orb_r7,orb_r8,orb_r9,orb_r10,orb_r11,orb_r12,orb_r13,orb_r14,orb_r15,orb_r16,orb_r17,orb_r18,orb_r19,orb_r20,orb_l1,orb_l2,orb_l3,orb_l4,orb_l5,orb_l6,orb_l7,orb_l8,orb_l9,orb_l10,orb_l11,orb_l12,orb_l13,orb_l14,orb_l15,orb_l16,orb_l17,orb_l18,orb_l19,orb_l20,orb_a1,orb_a2,orb_a3,orb_a4,orb_a5,orb_a6,orb_a7,orb_a8,orb_a9,orb_a10,orb_a11,orb_a12,orb_a13,orb_a14,orb_a15,orb_a16,orb_a17,orb_a18,orb_a19,orb_a20,orb_bl1,orb_bl2,orb_bl3,orb_bl4,orb_bl5,orb_bl6,orb_bl7,orb_bl8,orb_bl9,orb_bl10,orb_bl11,orb_bl12,orb_bl13,orb_bl14,orb_bl15,orb_bl16,orb_bl17,orb_bl18,orb_bl19,orb_bl20,orb_h1,orb_h2,orb_h3,orb_h4,orb_h5,orb_h6,orb_h7,orb_h8,orb_h9,orb_h10,orb_h11,orb_h12,orb_h13,orb_h14,orb_h15,orb_h16,orb_h17,orb_h18,orb_h19,orb_h20,orb_s1,orb_s2,orb_s3,orb_s4,orb_s5,orb_s6,orb_s7,orb_s8,orb_s9,orb_s10,orb_s11,orb_s12,orb_s13,orb_s14,orb_s15,orb_s16,orb_s17,orb_s18,orb_s19,orb_s20,orb_v1,orb_v2,orb_v3,orb_v4,orb_v5,orb_v6,orb_v7,orb_v8,orb_v9,orb_v10,orb_v11,orb_v12,orb_v13,orb_v14,orb_v15,orb_v16,orb_v17,orb_v18,orb_v19,orb_v20
0,80.27869745,34.18353762,94.39927347,70.15320723,42.26916777,165.8884044,94.40231353,94.0097513,108.2202378,158.6268681,17.52517157,16.10431863,17.86384022,18.91138196,2.704421551,29.59098652,17.87003076,18.75184336,2.860885211,5.078736434,18,1,20,18,14,18,20,15,99,119,24,23,11,4,5,8,38,36,22,14,9,19,9,21,12,34,13,10,12,23,10,12,14,40,18,22,19,19,5,13,25,22,31,24,11,23,17,28,20,29,8,17,15,41,8,23,13,17,9,4,49,41,18,4,16,6,27,18,33,9,11,27,22,19,22,24,13,32,30,19,24,22,27,24,26,6,12,27,11,15,24,40,31,31,15,23,12,20,25,12,25,16,8,14,20,36,9,13,19,5,5,1,13,14,33,7,2,0,5,4,0,0,0,9,18,0,4,15,0,11,6,2,10,19,4,7,15,6,11,1,13,1,3,3,3,8,3,1,48,18,12,6,1,2,1,0,0,5,1,8,3,0,0,12,2,7,6,0,3,2,9,26,40,21,12,29,22,5,44,22,23,46,34,12,15,30,10,32,13,54,15,21,15,8,60,26,28,13,13,11,37,6,36,13,15,15,18,15,6,7
0,77.39349189,39.46614848,89.2028431,68.72973297,42.56130757,143.7839496,89.2256234,89.60025253,110.9612663,153.8417909,14.03945939,13.50224085,14.44841557,15.02735116,2.906708595,26.62252013,14.4631755,15.08353935,2.705086159,4.872678903,27,1,35,20,2,12,35,29,100,122,25,13,5,1,8,6,38,35,31,10,9,35,3,9,16,20,1,3,5,40,15,2,28,72,17,12,35,13,15,4,7,19,31,54,7,20,6,16,11,3,4,5,8,16,27,19,10,5,12,2,74,5,13,12,8,9,28,12,37,18,3,37,18,25,19,13,5,37,5,43,31,4,30,40,20,9,15,10,6,33,34,7,70,11,10,11,8,3,11,27,12,16,8,2,7,45,8,14,21,6,1,5,4,4,5,1,5,6,0,0,15,7,0,2,26,5,1,4,2,4,4,3,2,13,2,6,5,4,13,9,22,16,11,4,4,1,5,1,12,13,2,2,13,2,0,9,5,0,0,0,3,11,2,3,0,4,3,2,4,1,21,32,43,15,31,24,22,15,18,31,29,28,19,27,24,20,11,23,28,39,3,14,5,15,16,12,26,14,9,3,69,13,41,2,6,9,22,9,15,18
0,82.03965593,39.30445056,95.34982153,72.22846278,42.61231007,151.6039986,95.34982153,95.41835126,109.1470275,156.6583135,14.89756129,13.94040114,14.89315541,16.79212156,2.904929423,26.00956292,14.89315541,15.62253941,2.580756544,4.7581028,29,1,33,16,31,21,33,30,99,127,17,7,45,28,18,12,12,19,17,9,27,25,11,21,5,15,14,6,17,21,15,6,4,15,31,14,26,55,15,27,17,21,10,23,11,10,19,29,20,19,11,18,17,41,13,39,9,26,19,9,29,55,16,16,23,3,22,7,16,21,13,23,47,21,13,25,19,39,13,23,21,9,18,11,20,19,12,43,18,11,14,57,30,17,30,24,11,23,28,13,19,14,8,5,25,28,9,26,17,17,13,23,14,9,14,5,18,16,5,0,0,0,0,6,8,0,7,18,14,11,14,7,12,23,18,15,23,10,24,1,15,0,0,2,20,9,16,0,23,13,1,3,0,1,9,5,0,0,8,2,4,0,4,0,0,11,0,1,1,6,14,31,21,38,35,50,23,21,22,19,11,18,20,37,13,26,17,26,7,44,21,11,16,22,39,39,15,4,23,15,24,9,18,50,23,11,16,27,15,12
0,67.43801416,38.15018018,77.34618313,59.17851754,44.34517268,129.9541329,77.34796872,77.2991072,113.2104275,148.616301,20.00186244,14.19177771,22.07237124,19.42389773,2.929270802,25.24317947,22.07361501,23.03525648,3.812234316,6.519990328,11,1,13,7,19,16,13,8,96,130,14,11,12,12,19,17,38,21,16,12,28,38,11,13,24,5,2,14,13,19,4,6,24,34,20,9,42,6,36,8,5,43,20,29,9,17,31,34,19,9,14,11,19,25,13,16,10,13,8,4,56,15,26,7,14,19,8,19,15,54,9,31,17,14,47,15,8,29,33,16,11,12,38,34,14,13,14,7,3,20,37,13,50,20,21,7,8,12,13,16,17,17,19,15,9,13,44,19,22,16,11,14,0,5,8,7,8,14,2,2,19,11,3,2,19,5,0,0,1,14,6,14,6,22,21,9,2,1,11,8,23,17,12,5,9,4,13,0,7,5,0,0,15,4,2,2,2,0,3,0,2,14,2,0,2,1,1,1,3,5,29,25,15,12,43,22,24,26,42,30,35,24,7,15,24,24,18,15,40,30,12,15,18,6,24,12,7,20,17,15,46,20,19,9,23,18,19,15,11,42
0,71.64858499,34.46418033,84.53800055,60.54237305,44.64606016,151.0418821,84.53973214,83.95941416,109.4448964,153.6884888,14.61889444,12.8867174,16.27460998,14.87029044,3.19349906,31.34593147,16.27619461,16.58858394,4.31063067,6.689470035,22,1,25,18,15,9,25,20,96,129,26,12,8,6,12,18,61,66,29,5,31,13,10,7,7,19,8,9,7,37,2,9,25,51,20,21,13,7,15,10,8,28,64,32,3,45,16,16,14,7,16,20,12,19,21,35,18,3,11,8,57,7,17,7,17,14,42,7,32,30,16,40,8,16,15,11,2,48,13,22,35,21,12,73,20,10,24,8,5,17,57,15,48,10,14,16,5,18,14,19,21,22,5,13,8,44,20,16,41,2,12,0,12,16,10,7,4,7,5,1,18,0,0,2,5,2,1,9,10,14,12,11,9,6,19,12,3,3,7,5,15,8,17,1,15,9,13,0,8,18,1,2,0,11,1,4,1,3,1,9,0,9,3,1,1,9,0,1,0,6,22,32,25,28,33,17,26,25,49,17,17,18,23,18,16,26,29,15,22,42,18,29,7,10,14,26,19,11,12,3,50,16,43,6,14,20,31,16,18,29
1,88.50282752,42.65667203,102.9972833,77.55641823,43.11038427,150.2434459,102.9980697,102.8412511,107.7574334,158.3359285,15.52933875,13.07485546,16.05419129,17.22001444,2.936973532,25.01526771,16.05697173,16.58487354,2.2733345,5.874021747,42,2,55,29,19,41,55,52,99,137,4,9,16,11,10,7,14,11,6,12,17,7,15,8,13,6,6,14,11,17,2,5,14,16,6,7,17,7,17,19,9,22,9,12,11,14,24,12,8,6,8,28,24,22,11,12,2,7,7,1,24,16,13,6,14,7,16,14,17,13,15,19,6,13,12,20,1,35,14,12,7,14,13,8,12,12,20,20,8,30,13,16,27,34,18,11,6,25,19,11,15,12,12,5,3,20,9,7,12,3,15,8,4,12,6,5,4,4,0,0,0,0,0,0,1,3,1,12,1,3,5,11,6,4,5,14,3,0,9,0,18,0,0,1,8,10,17,0,7,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,49,16,22,7,31,27,23,31,20,17,20,15,11,24,22,20,20,20,29,52,21,9,5,6,30,15,12,12,21,9,24,6,17,10,11,16,10,8,11,9
0,78.04734539,41.50055006,89.80555988,68.9069167,43.14331212,138.2112835,89.84837921,90.16571641,110.9990606,152.9574871,15.83486572,14.09241965,16.74371862,16.80821341,3.465796723,27.70564089,16.90510577,17.40888273,3.768537361,5.815866936,25,2,30,23,15,25,30,25,96,134,23,13,6,6,9,14,16,20,7,10,13,23,9,15,11,19,7,9,7,21,8,7,38,42,9,29,32,17,9,8,8,20,22,21,9,24,12,10,9,12,29,14,1,6,12,12,9,21,18,5,19,13,7,17,16,10,19,14,24,16,10,17,19,18,25,3,19,28,5,15,26,8,34,18,13,8,34,5,17,12,13,13,23,12,4,28,5,10,13,10,5,38,13,9,13,32,18,18,11,14,6,0,3,3,8,2,0,4,0,3,0,0,0,0,20,4,2,3,4,1,9,2,3,12,11,6,3,8,8,0,11,0,0,0,7,3,2,0,19,10,0,1,2,0,0,0,0,0,1,0,1,4,0,1,1,0,0,0,4,6,31,22,36,4,47,7,32,31,37,19,42,17,10,11,27,20,8,29,36,34,9,10,4,17,9,24,16,10,4,18,20,15,27,9,23,9,7,7,30,16
1,63.14425202,41.08312453,71.52641075,55.10945453,46.56929274,109.147699,71.52768434,72.00187346,115.1271924,144.1323698,11.22331403,11.12392654,11.93411964,11.42954598,3.167340885,28.29938949,11.94024644,12.72226243,3.044398516,4.735607809,25,4,34,14,21,24,34,28,100,123,35,16,1,1,3,13,13,29,16,4,13,20,5,9,21,19,10,6,9,13,16,41,15,7,12,17,10,7,14,29,11,11,6,4,22,12,6,6,22,21,8,23,29,30,7,11,10,12,7,5,19,32,69,13,6,1,13,4,12,2,20,6,29,5,4,16,28,12,75,13,2,18,12,6,4,23,7,21,3,3,5,26,16,36,27,10,14,23,9,6,45,10,2,1,14,13,4,6,11,39,6,10,19,28,31,1,11,12,5,0,0,0,0,0,19,1,1,16,18,18,3,8,3,31,11,4,8,8,38,0,23,0,1,1,21,4,13,0,22,15,2,6,0,13,9,5,0,2,12,5,0,0,2,1,4,14,1,0,9,2,32,18,18,36,66,17,19,37,18,5,29,10,16,14,17,27,17,12,57,27,20,8,60,13,40,12,9,4,31,23,16,2,17,23,4,17,8,1,5,1
1,68.47956157,26.56683051,83.86531393,54.2238331,45.74670188,176.3002689,83.87075816,82.05593421,106.1072363,157.0504118,13.90160442,10.66391164,14.71726251,14.52014281,2.462943877,20.57729699,14.73829863,15.49476974,2.243300497,3.935655287,22,1,31,11,19,37,31,25,97,133,10,12,9,30,7,7,4,17,8,10,52,9,12,10,12,10,6,4,16,11,19,36,8,7,6,8,6,25,15,11,17,5,13,8,12,13,17,18,8,23,10,14,15,36,8,25,25,13,12,17,10,37,26,4,7,6,11,9,11,5,21,12,42,15,8,16,16,9,30,9,10,24,7,5,14,14,7,22,10,9,12,28,10,27,22,7,23,26,17,8,36,3,3,21,22,12,6,11,13,9,21,10,12,20,20,5,4,7,7,12,4,6,0,8,11,4,3,5,7,15,6,1,9,8,17,9,9,9,20,0,23,3,6,16,6,20,9,1,30,29,0,5,8,3,8,3,0,8,5,7,11,6,3,0,1,5,0,0,4,6,14,21,55,11,17,18,14,9,37,23,15,21,43,37,15,27,23,20,23,19,26,16,15,5,31,20,7,19,19,23,7,6,9,23,8,25,14,12,5,13
0,61.95287903,35.9056997,72.27115168,51.63720479,47.8379487,129.5053056,72.28756653,71.66227223,112.455606,147.0372615,15.74620365,13.87663736,16.63531741,16.54796984,4.261873841,34.41224367,16.69789133,17.62658989,3.664734755,6.146128654,23,1,30,12,15,23,30,24,99,130,22,31,11,7,8,18,27,27,30,5,16,14,19,35,27,39,24,19,18,29,46,56,7,21,8,11,16,21,15,7,2,18,8,7,3,16,10,13,6,22,9,18,7,7,32,35,19,20,36,5,28,14,64,45,24,8,37,12,23,9,13,23,29,23,13,9,72,26,44,15,19,9,9,25,31,3,30,3,13,20,20,5,36,21,7,33,25,13,34,21,26,23,10,5,24,28,8,17,21,82,7,19,23,23,14,10,5,4,12,3,10,4,3,4,32,3,10,18,18,5,9,4,11,21,20,15,29,15,28,7,21,8,2,4,12,8,9,8,20,14,3,1,0,6,1,10,2,6,0,3,5,5,5,3,4,5,2,3,3,5,51,13,14,20,37,16,31,43,23,11,18,8,26,23,26,29,10,21,46,34,15,14,64,28,11,44,48,12,7,58,26,10,20,11,18,7,18,10,14,17
